Geographic Area Code,Geographic Area Name,ISO3,Longitude,Latitude,SDG Region,Sex Code,Year,"Youth literacy rate in percent of persons aged 15-24 years, by sex",Nature of the Data Code,Reporting Type Code
417,Kyrgyzstan,KGZ,74.5232467651367,41.462043762207,Central and Southern Asia,_T,2019,99.7,E,G
116,Cambodia,KHM,104.922836303711,12.7116374969482,Eastern and South-Eastern Asia,F,2022,96.51,E,G
116,Cambodia,KHM,104.922836303711,12.7116374969482,Eastern and South-Eastern Asia,M,2022,95.44,E,G
116,Cambodia,KHM,104.922836303711,12.7116374969482,Eastern and South-Eastern Asia,_T,2022,95.97,E,G
418,Lao People's Dem. Rep.,LAO,101.990196228027,20.2748279571533,Eastern and South-Eastern Asia,F,2022,93.54,E,G
418,Lao People's Dem. Rep.,LAO,101.990196228027,20.2748279571533,Eastern and South-Eastern Asia,M,2022,95.44,E,G
418,Lao People's Dem. Rep.,LAO,101.990196228027,20.2748279571533,Eastern and South-Eastern Asia,_T,2022,94.51,E,G
430,Liberia,LBR,-9.31187915802002,6.44838094711304,Sub-Saharan Africa,F,2019,71.85,C,G
430,Liberia,LBR,-9.31187915802002,6.44838094711304,Sub-Saharan Africa,M,2019,86.23,C,G
430,Liberia,LBR,-9.31187915802002,6.44838094711304,Sub-Saharan Africa,_T,2019,77.46,C,G
144,Sri Lanka,LKA,80.7048950195313,7.61469316482544,Central and Southern Asia,F,2021,99.14,C,G
144,Sri Lanka,LKA,80.7048950195313,7.61469316482544,Central and Southern Asia,M,2021,98.71,C,G
144,Sri Lanka,LKA,80.7048950195313,7.61469316482544,Central and Southern Asia,_T,2021,98.93,C,G
426,Lesotho,LSO,28.2536220550537,-29.5804176330566,Sub-Saharan Africa,F,2022,95.59,E,G
426,Lesotho,LSO,28.2536220550537,-29.5804176330566,Sub-Saharan Africa,M,2022,83.81,E,G
426,Lesotho,LSO,28.2536220550537,-29.5804176330566,Sub-Saharan Africa,_T,2022,89.73,E,G
504,Morocco,MAR,-6.28194284439087,31.8440132141113,Northern Africa and Western Asia,F,2022,98.41,E,G
504,Morocco,MAR,-6.28194284439087,31.8440132141113,Northern Africa and Western Asia,M,2022,98.62,E,G
504,Morocco,MAR,-6.28194284439087,31.8440132141113,Northern Africa and Western Asia,_T,2022,98.52,E,G
498,Republic of Moldova,MDA,28.4650630950928,47.2023696899414,Europe and Northern America,F,2021,99.7,E,G
498,Republic of Moldova,MDA,28.4650630950928,47.2023696899414,Europe and Northern America,M,2021,99.7,E,G
498,Republic of Moldova,MDA,28.4650630950928,47.2023696899414,Europe and Northern America,_T,2021,99.7,E,G
462,Maldives,MDV,73.0967254638672,-0.614385008811951,Central and Southern Asia,F,2021,99.32,E,G
462,Maldives,MDV,73.0967254638672,-0.614385008811951,Central and Southern Asia,M,2021,99.51,E,G
462,Maldives,MDV,73.0967254638672,-0.614385008811951,Central and Southern Asia,_T,2021,99.43,E,G
484,Mexico,MEX,-102.51481628418,23.933780670166,Latin America and the Caribbean,F,2020,99.1,C,G
484,Mexico,MEX,-102.51481628418,23.933780670166,Latin America and the Caribbean,M,2020,98.83,C,G
484,Mexico,MEX,-102.51481628418,23.933780670166,Latin America and the Caribbean,_T,2020,98.96,C,G
584,Marshall Islands,MHL,171.083908081055,7.11021327972412,"Oceania, exc. Australia and New Zealand",F,2011,98.76,C,G
584,Marshall Islands,MHL,171.083908081055,7.11021327972412,"Oceania, exc. Australia and New Zealand",M,2011,98.17,C,G
584,Marshall Islands,MHL,171.083908081055,7.11021327972412,"Oceania, exc. Australia and New Zealand",_T,2011,98.46,C,G
807,North Macedonia,MKD,21.7007904052734,41.6004791259766,Europe and Northern America,F,2012,98.5,E,G
807,North Macedonia,MKD,21.7007904052734,41.6004791259766,Europe and Northern America,M,2012,98.8,E,G
807,North Macedonia,MKD,21.7007904052734,41.6004791259766,Europe and Northern America,_T,2012,98.6,E,G
466,Mali,MLI,-3.5220160484314,17.3531131744385,Sub-Saharan Africa,F,2020,38.45,C,G
466,Mali,MLI,-3.5220160484314,17.3531131744385,Sub-Saharan Africa,M,2020,55.23,C,G
466,Mali,MLI,-3.5220160484314,17.3531131744385,Sub-Saharan Africa,_T,2020,46.16,C,G
104,Myanmar,MMR,96.5175247192383,21.1933288574219,Eastern and South-Eastern Asia,F,2019,95.55,C,G
104,Myanmar,MMR,96.5175247192383,21.1933288574219,Eastern and South-Eastern Asia,M,2019,95.27,C,G
104,Myanmar,MMR,96.5175247192383,21.1933288574219,Eastern and South-Eastern Asia,_T,2019,95.42,C,G
499,Montenegro,MNE,19.252140045166,42.7871704101563,Europe and Northern America,F,2021,98.91,E,G
499,Montenegro,MNE,19.252140045166,42.7871704101563,Europe and Northern America,M,2021,99.17,E,G
499,Montenegro,MNE,19.252140045166,42.7871704101563,Europe and Northern America,_T,2021,99.05,E,G
496,Mongolia,MNG,103.072807312012,46.8389205932617,Eastern and South-Eastern Asia,F,2020,99.23,C,G
496,Mongolia,MNG,103.072807312012,46.8389205932617,Eastern and South-Eastern Asia,M,2020,98.93,C,G
496,Mongolia,MNG,103.072807312012,46.8389205932617,Eastern and South-Eastern Asia,_T,2020,99.07,C,G
508,Mozambique,MOZ,38.1847991943359,-14.2796392440796,Sub-Saharan Africa,F,2020,64.51,C,G
508,Mozambique,MOZ,38.1847991943359,-14.2796392440796,Sub-Saharan Africa,M,2020,76.46,C,G
508,Mozambique,MOZ,38.1847991943359,-14.2796392440796,Sub-Saharan Africa,_T,2020,70.08,C,G
454,Malawi,MWI,33.4884643554688,-13.4081983566284,Sub-Saharan Africa,F,2022,79.83,E,G
454,Malawi,MWI,33.4884643554688,-13.4081983566284,Sub-Saharan Africa,M,2022,73.66,E,G
454,Malawi,MWI,33.4884643554688,-13.4081983566284,Sub-Saharan Africa,_T,2022,76.79,E,G
516,Namibia,NAM,17.2190780639648,-22.1381702423096,Sub-Saharan Africa,F,2021,96.62,E,G
516,Namibia,NAM,17.2190780639648,-22.1381702423096,Sub-Saharan Africa,M,2021,94.46,E,G
516,Namibia,NAM,17.2190780639648,-22.1381702423096,Sub-Saharan Africa,_T,2021,95.55,E,G
562,Niger,NER,9.40016746520996,17.4214305877686,Sub-Saharan Africa,F,2022,40.36,E,G
562,Niger,NER,9.40016746520996,17.4214305877686,Sub-Saharan Africa,M,2022,55.8,E,G
562,Niger,NER,9.40016746520996,17.4214305877686,Sub-Saharan Africa,_T,2022,48.21,E,G
566,Nigeria,NGA,8.09736347198486,9.58578872680664,Sub-Saharan Africa,F,2018,68.26,E,G
566,Nigeria,NGA,8.09736347198486,9.58578872680664,Sub-Saharan Africa,M,2018,81.58,E,G
566,Nigeria,NGA,8.09736347198486,9.58578872680664,Sub-Saharan Africa,_T,2018,75.03,E,G
558,Nicaragua,NIC,-85.0306015014648,12.8421087265015,Latin America and the Caribbean,F,2015,93.6,E,G
558,Nicaragua,NIC,-85.0306015014648,12.8421087265015,Latin America and the Caribbean,M,2015,89.64,E,G
558,Nicaragua,NIC,-85.0306015014648,12.8421087265015,Latin America and the Caribbean,_T,2015,91.57,E,G
524,Nepal,NPL,83.9467849731445,28.2586631774902,Central and Southern Asia,F,2021,93.25,E,G
524,Nepal,NPL,83.9467849731445,28.2586631774902,Central and Southern Asia,M,2021,95.14,E,G
524,Nepal,NPL,83.9467849731445,28.2586631774902,Central and Southern Asia,_T,2021,94.18,E,G
586,Pakistan,PAK,68.8047943115234,29.3649158477783,Central and Southern Asia,F,2019,65.19,C,G
586,Pakistan,PAK,68.8047943115234,29.3649158477783,Central and Southern Asia,M,2019,79.73,C,G
586,Pakistan,PAK,68.8047943115234,29.3649158477783,Central and Southern Asia,_T,2019,72.7,C,G
591,Panama,PAN,-81.2661666870117,8.45096588134766,Latin America and the Caribbean,F,2021,99.24,C,G
591,Panama,PAN,-81.2661666870117,8.45096588134766,Latin America and the Caribbean,M,2021,99.26,C,G
591,Panama,PAN,-81.2661666870117,8.45096588134766,Latin America and the Caribbean,_T,2021,99.25,C,G
604,Peru,PER,-71.820930480957,-13.5893974304199,Latin America and the Caribbean,F,2021,99.18,C,G
604,Peru,PER,-71.820930480957,-13.5893974304199,Latin America and the Caribbean,M,2021,99.07,C,G
604,Peru,PER,-71.820930480957,-13.5893974304199,Latin America and the Caribbean,_T,2021,99.12,C,G
608,Philippines,PHL,120.860145568848,14.1659173965454,Eastern and South-Eastern Asia,F,2019,98.89,C,G
608,Philippines,PHL,120.860145568848,14.1659173965454,Eastern and South-Eastern Asia,M,2019,97.9,C,G
608,Philippines,PHL,120.860145568848,14.1659173965454,Eastern and South-Eastern Asia,_T,2019,98.38,C,G
598,Papua New Guinea,PNG,145.858779907227,-6.75605726242065,"Oceania, exc. Australia and New Zealand",F,2010,71.4,E,G
598,Papua New Guinea,PNG,145.858779907227,-6.75605726242065,"Oceania, exc. Australia and New Zealand",M,2010,64.57,E,G
598,Papua New Guinea,PNG,145.858779907227,-6.75605726242065,"Oceania, exc. Australia and New Zealand",_T,2010,67.9,E,G
600,Paraguay,PRY,-60.5485420227051,-21.7021617889404,Latin America and the Caribbean,F,2021,99.24,C,G
600,Paraguay,PRY,-60.5485420227051,-21.7021617889404,Latin America and the Caribbean,M,2021,98.06,C,G
600,Paraguay,PRY,-60.5485420227051,-21.7021617889404,Latin America and the Caribbean,_T,2021,98.63,C,G
275,State of Palestine,PSE,35.2569427490234,31.9434795379639,Northern Africa and Western Asia,F,2020,94.14,C,G
275,State of Palestine,PSE,35.2569427490234,31.9434795379639,Northern Africa and Western Asia,M,2020,81.66,C,G
275,State of Palestine,PSE,35.2569427490234,31.9434795379639,Northern Africa and Western Asia,_T,2020,87.7,C,G
642,Romania,ROU,24.9848098754883,45.8389358520508,Europe and Northern America,F,2021,99.5,E,G
642,Romania,ROU,24.9848098754883,45.8389358520508,Europe and Northern America,M,2021,99.5,E,G
642,Romania,ROU,24.9848098754883,45.8389358520508,Europe and Northern America,_T,2021,99.5,E,G
646,Rwanda,RWA,29.9231014251709,-1.99984216690063,Sub-Saharan Africa,F,2021,90.3,E,G
646,Rwanda,RWA,29.9231014251709,-1.99984216690063,Sub-Saharan Africa,M,2021,83.4,E,G
646,Rwanda,RWA,29.9231014251709,-1.99984216690063,Sub-Saharan Africa,_T,2021,86.9,E,G
729,Sudan,SDN,29.9565010070801,16.0264301300049,Northern Africa and Western Asia,F,2018,73.49,E,G
729,Sudan,SDN,29.9565010070801,16.0264301300049,Northern Africa and Western Asia,M,2018,72.51,E,G
729,Sudan,SDN,29.9565010070801,16.0264301300049,Northern Africa and Western Asia,_T,2018,73.0,E,G
686,Senegal,SEN,-14.4663696289063,14.359209060669,Sub-Saharan Africa,F,2022,75.22,E,G
686,Senegal,SEN,-14.4663696289063,14.359209060669,Sub-Saharan Africa,M,2022,81.01,E,G
686,Senegal,SEN,-14.4663696289063,14.359209060669,Sub-Saharan Africa,_T,2022,78.14,E,G
694,Sierra Leone,SLE,-11.7830657958984,8.56860446929932,Sub-Saharan Africa,F,2022,71.65,E,G
694,Sierra Leone,SLE,-11.7830657958984,8.56860446929932,Sub-Saharan Africa,M,2022,75.23,E,G
694,Sierra Leone,SLE,-11.7830657958984,8.56860446929932,Sub-Saharan Africa,_T,2022,73.46,E,G
222,El Salvador,SLV,-88.8686294555664,13.7360353469849,Latin America and the Caribbean,F,2020,98.71,C,G
222,El Salvador,SLV,-88.8686294555664,13.7360353469849,Latin America and the Caribbean,M,2020,98.3,C,G
222,El Salvador,SLV,-88.8686294555664,13.7360353469849,Latin America and the Caribbean,_T,2020,98.51,C,G
688,Serbia,SRB,20.8058757781982,44.0314559936523,Europe and Northern America,F,2019,100.0,C,G
688,Serbia,SRB,20.8058757781982,44.0314559936523,Europe and Northern America,M,2019,100.0,C,G
688,Serbia,SRB,20.8058757781982,44.0314559936523,Europe and Northern America,_T,2019,100.0,C,G
728,South Sudan,SSD,30.3261871337891,7.29083919525146,Sub-Saharan Africa,F,2018,47.37,E,G
728,South Sudan,SSD,30.3261871337891,7.29083919525146,Sub-Saharan Africa,M,2018,48.43,E,G
728,South Sudan,SSD,30.3261871337891,7.29083919525146,Sub-Saharan Africa,_T,2018,47.9,E,G
678,Sao Tome and Principe,STP,6.60977220535278,0.241554871201515,Sub-Saharan Africa,F,2022,98.38,E,G
