Geogrpahic Area Code,Geographic Area Name,ISO3,Longitude,Latitude,SDG Region,Year,Sex Code,Age,Value(%),Value Lower Bound(%),Value Upper Bound(%),Nature of the Data Code
780,Trinidad and Tobago,TTO,-61.2938957214355,10.4187726974487,Latin America and the Caribbean,2018,F,15 to 49 years old,7.5,3.8,14.0,E
788,Tunisia,TUN,9.57273769378662,34.1143989562988,Northern Africa and Western Asia,2018,F,15 to 49 years old,10.1,4.9,19.5,E
792,Türkiye,TUR,35.4289016723633,38.9899673461914,Northern Africa and Western Asia,2018,F,15 to 49 years old,12.1,7.6,19.1,E
798,Tuvalu,TUV,178.667953491211,-7.46004819869995,"Oceania, exc. Australia and New Zealand",2018,F,15 to 49 years old,19.8,10.2,35.2,E
800,Uganda,UGA,32.3910026550293,1.27955734729767,Sub-Saharan Africa,2018,F,15 to 49 years old,26.1,17.9,36.4,E
804,Ukraine,UKR,31.4027080535889,49.0073585510254,Europe and Northern America,2018,F,15 to 49 years old,8.7,5.4,13.4,E
826,United Kingdom,GBR,-2.23830533027649,53.2769165039063,Europe and Northern America,2018,F,15 to 49 years old,4.2,2.1,8.4,E
834,United Republic of Tanzania,TZA,34.8052101135254,-6.26533269882202,Sub-Saharan Africa,2018,F,15 to 49 years old,24.3,16.1,34.8,E
840,United States of America,USA,-99.1383056640625,39.5277862548828,Europe and Northern America,2018,F,15 to 49 years old,6.0,3.8,9.4,E
858,Uruguay,URY,-56.0138702392578,-32.8002853393555,Latin America and the Caribbean,2018,F,15 to 49 years old,4.3,2.0,9.2,E
548,Vanuatu,VUT,167.067977905273,-15.3444557189941,"Oceania, exc. Australia and New Zealand",2018,F,15 to 49 years old,29.4,16.2,47.6,E
862,Venezuela,VEN,-66.1564178466797,7.12132453918457,Latin America and the Caribbean,2018,F,15 to 49 years old,8.5,4.4,15.8,E
704,Viet Nam,VNM,105.80249786377,10.0964307785034,Eastern and South-Eastern Asia,2018,F,15 to 49 years old,9.5,5.1,17.4,E
894,Zambia,ZMB,27.8503284454346,-14.5970106124878,Sub-Saharan Africa,2018,F,15 to 49 years old,27.8,18.7,39.0,E
716,Zimbabwe,ZWE,29.8690967559814,-19.0007553100586,Sub-Saharan Africa,2018,F,15 to 49 years old,18.2,12.0,26.4,E
586,Pakistan,PAK,68.8047943115234,29.3649158477783,Central and Southern Asia,2018,F,15 to 49 years old,16.2,10.0,25.1,E
585,Palau,PLW,134.573394775391,7.50230741500854,"Oceania, exc. Australia and New Zealand",2018,F,15 to 49 years old,13.8,7.0,25.5,E
591,Panama,PAN,-81.2661666870117,8.45096588134766,Latin America and the Caribbean,2018,F,15 to 49 years old,7.8,4.5,13.2,E
598,Papua New Guinea,PNG,145.858779907227,-6.75605726242065,"Oceania, exc. Australia and New Zealand",2018,F,15 to 49 years old,30.6,18.9,45.2,E
600,Paraguay,PRY,-60.5485420227051,-21.7021617889404,Latin America and the Caribbean,2018,F,15 to 49 years old,5.5,3.1,9.5,E
604,Peru,PER,-71.820930480957,-13.5893974304199,Latin America and the Caribbean,2018,F,15 to 49 years old,11.1,8.0,15.0,E
608,Philippines,PHL,120.860145568848,14.1659173965454,Eastern and South-Eastern Asia,2018,F,15 to 49 years old,5.9,3.8,9.2,E
616,Poland,POL,19.4066009521484,52.122673034668,Europe and Northern America,2018,F,15 to 49 years old,3.1,1.7,5.8,E
