,Geographic Area Code,Geographic Area Name,ISO3,Longitude,Latitude,SDG Regeion,Sex Code,Age,Year,"Value(per 1,000 population)",Nature of the Data Code
215,562,Niger,NER,9.40016746520996,17.4214305877686,Sub-Saharan Africa,F,15 to 19 years old,2020,132.0,C
216,894,Zambia,ZMB,27.8503284454346,-14.5970106124878,Sub-Saharan Africa,F,15 to 19 years old,2017,134.57,CA
217,454,Malawi,MWI,33.4884643554688,-13.4081983566284,Sub-Saharan Africa,F,15 to 19 years old,2018,135.63,CA
218,148,Chad,TCD,18.6661834716797,15.36279296875,Sub-Saharan Africa,F,15 to 19 years old,2018,138.66,CA
219,834,United Republic of Tanzania,TZA,34.8052101135254,-6.26533269882202,Sub-Saharan Africa,F,15 to 19 years old,2016,138.89,CA
221,728,South Sudan,SSD,30.3261871337891,7.29083919525146,Sub-Saharan Africa,F,15 to 19 years old,2008,158.14,CA
222,24,Angola,AGO,17.5781707763672,-12.3372478485107,Sub-Saharan Africa,F,15 to 19 years old,2014,162.66,CA
223,466,Mali,MLI,-3.5220160484314,17.3531131744385,Sub-Saharan Africa,F,15 to 19 years old,2017,163.56,CA
224,226,Equatorial Guinea,GNQ,10.4653587341309,1.56579232215881,Sub-Saharan Africa,F,15 to 19 years old,2010,176.03,C
225,508,Mozambique,MOZ,38.1847991943359,-14.2796392440796,Sub-Saharan Africa,F,15 to 19 years old,2016,180.13,CA
226,140,Central African Republic,CAF,20.9355945587158,7.00372076034546,Sub-Saharan Africa,F,15 to 19 years old,2018,184.35,CA
